2024-05-16 21:23:26,375 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:27,438 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:27,812 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:27,812 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:27,813 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:27,814 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:28,288 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:28,289 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:28,289 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:28,290 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:28,375 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_created():271] file/dir created: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-summary.json
2024-05-16 21:23:28,774 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:28,774 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:28,775 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:28,775 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:29,259 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:29,260 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:29,260 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:29,260 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:29,376 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-summary.json
2024-05-16 21:23:29,745 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:29,745 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:29,745 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:29,746 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:30,228 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:30,229 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:30,229 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:30,230 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:30,376 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:30,376 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-summary.json
2024-05-16 21:23:30,707 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:30,708 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:30,708 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:30,708 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:31,191 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:31,192 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:31,192 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:31,193 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:31,376 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-summary.json
2024-05-16 21:23:31,497 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: stop_status
2024-05-16 21:23:31,497 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: stop_status
2024-05-16 21:23:31,498 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: internal_messages
2024-05-16 21:23:31,679 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
2024-05-16 21:23:31,717 DEBUG   SenderThread:635469 [sender.py:send():379] send: history
2024-05-16 21:23:31,717 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: summary_record
2024-05-16 21:23:31,717 INFO    SenderThread:635469 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-05-16 21:23:32,376 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:32,377 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-summary.json
2024-05-16 21:23:32,720 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:33,377 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/config.yaml
2024-05-16 21:23:34,377 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:37,895 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:39,446 INFO    MainThread:635469 [internal.py:handle_exit():76] Internal process exited
