
Waiting for JIT...
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1300     Time: 0.006
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1400     Time: 0.006
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1500     Time: 0.005
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1600     Time: 0.006
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
